usage_month,billing_account_id,project.number,project.id,service.id,service.description,location.location,location.region,carbon_footprint_kgCO2e,carbon_model_version
01/04/2022,19C531-B6OB56-1637BA,101276572885,user1-505,24E6-581D-38E5,BigQuery,us,,0.000001047645831,4
01/04/2022,19C531-B6OB56-1637BA,101276572886,billing-export-538,24E6-581D-38E5,BigQuery,europe-west3,europe-west3,0.00002876597025,4
01/03/2022,19C531-B6OB56-1637BA,101276572884,playground-183,FA26-5236-B8B5,Cloud DNS,global,,0.001811840541,4
01/02/2022,19C531-B6OB56-1637BA,101276572884,playground-183,FA26-5236-B8B5,Cloud DNS,global,,0.00006505899791,4
01/04/2022,19C531-B6OB56-1637BA,101276572884,playground-183,FA26-5236-B8B5,Cloud DNS,global,,0.002485352731,4
01/01/2022,19C531-B6OB56-1637BA,101276572890,user2-668,FA26-5236-B8B5,Cloud DNS,global,,0.000003030922254,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,152E-C115-5142,Cloud Run,us-east1,us-east1,0.00004285543974,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,152E-C115-5142,Cloud Run,us-central1,us-central1,0.000003838866909,4
01/04/2022,19C531-B6OB56-1637BA,101276572892,user3-621,9662-B51E-5089,Cloud SQL,europe-west3,europe-west3,0.001399669915,4
01/02/2022,19C531-B6OB56-1637BA,101276572897,intro-321,E505-1604-58F8,Networking,us-central1,us-central1,10.30780332,4
01/02/2022,19C531-B6OB56-1637BA,101276572884,playground-183,E505-1604-58F8,Networking,us-central1,us-central1,16.48932583,4
01/03/2022,19C531-B6OB56-1637BA,101276572897,intro-321,E505-1604-58F8,Networking,us-central1,us-central1,6.881614349,4
01/03/2022,19C531-B6OB56-1637BA,101276572884,playground-183,E505-1604-58F8,Networking,us-central1,us-central1,8.068095456,4
01/01/2022,19C531-B6OB56-1637BA,101276572884,playground-183,E505-1604-58F8,Networking,us-central1,us-central1,9.222726812,4
01/01/2022,19C531-B6OB56-1637BA,101276572896,,E505-1604-58F8,Networking,us-central1,us-central1,17.924731,4
01/12/2021,19C531-B6OB56-1637BA,101276572896,,E505-1604-58F8,Networking,us-central1,us-central1,15.06956439,4
01/02/2022,19C531-B6OB56-1637BA,101276572896,,E505-1604-58F8,Networking,us-central1,us-central1,6.696976718,4
01/04/2022,19C531-B6OB56-1637BA,101276572884,playground-183,E505-1604-58F8,Networking,us-central1,us-central1,6.454327995,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,8B5D-EF7D-EB12,Cloud Build,us-west1-c,us-west1,0.00000423637592,4
01/02/2021,19C531-B6OB56-1637BA,101276572887,,8B5D-EF7D-EB12,Cloud Build,us-central1-a,us-central1,0.0002225271518,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,8B5D-EF7D-EB12,Cloud Build,us-central1-a,us-central1,0.0006997333301,4
01/02/2021,19C531-B6OB56-1637BA,101276572887,,8B5D-EF7D-EB12,Cloud Build,us-central1-c,us-central1,0.0002517323483,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,8B5D-EF7D-EB12,Cloud Build,us-central1-c,us-central1,0.0002359405859,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,8B5D-EF7D-EB12,Cloud Build,us-central1-f,us-central1,0.000150082076,4
01/02/2021,19C531-B6OB56-1637BA,101276572887,,8B5D-EF7D-EB12,Cloud Build,us-central1-f,us-central1,0.0003327516105,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,F3A6-D7B7-9BDA,Cloud Tasks,asia-east2,asia-east2,0.0000005717864888,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,F3A6-D7B7-9BDA,Cloud Tasks,us-central1,us-central1,0.0000003546999838,4
01/12/2021,19C531-B6OB56-1637BA,101276572896,,5490-F7B7-8DF6,Cloud Logging,us,,0.00007670109448,4
01/01/2022,19C531-B6OB56-1637BA,101276572895,user4,5490-F7B7-8DF6,Cloud Logging,us,,0.001024404123,4
01/07/2021,19C531-B6OB56-1637BA,101276572888,,5490-F7B7-8DF6,Cloud Logging,us,,0.0000001681453042,4
01/04/2022,19C531-B6OB56-1637BA,101276572890,user2-668,5490-F7B7-8DF6,Cloud Logging,us,,0.0000001292895262,4
01/09/2021,19C531-B6OB56-1637BA,101276572888,,5490-F7B7-8DF6,Cloud Logging,us,,0.00000002475370236,4
01/12/2021,19C531-B6OB56-1637BA,101276572894,demo,5490-F7B7-8DF6,Cloud Logging,us,,0.00002888936721,4
01/02/2022,19C531-B6OB56-1637BA,101276572884,playground-183,5490-F7B7-8DF6,Cloud Logging,us,,0.0009406078785,4
01/01/2022,19C531-B6OB56-1637BA,101276572893,user5,5490-F7B7-8DF6,Cloud Logging,us,,0.0001750742022,4
01/02/2022,19C531-B6OB56-1637BA,101276572890,user2-668,5490-F7B7-8DF6,Cloud Logging,us,,0.0001613036484,4
01/01/2022,19C531-B6OB56-1637BA,101276572884,playground-183,5490-F7B7-8DF6,Cloud Logging,us,,0.000447394894,4
01/04/2022,19C531-B6OB56-1637BA,101276572892,user3-621,5490-F7B7-8DF6,Cloud Logging,us,,0.0005630153465,4
01/01/2022,19C531-B6OB56-1637BA,101276572890,user2-668,5490-F7B7-8DF6,Cloud Logging,us,,0.0001092589725,4
01/10/2021,19C531-B6OB56-1637BA,101276572885,user1-505,5490-F7B7-8DF6,Cloud Logging,us,,0.0001206060117,4
01/12/2021,19C531-B6OB56-1637BA,101276572891,,5490-F7B7-8DF6,Cloud Logging,us,,0.00000494249195,4
01/03/2022,19C531-B6OB56-1637BA,101276572890,user2-668,5490-F7B7-8DF6,Cloud Logging,us,,0.0000003070982664,4
01/03/2022,19C531-B6OB56-1637BA,101276572885,user1-505,5490-F7B7-8DF6,Cloud Logging,us,,0.0001264095788,4
01/07/2021,19C531-B6OB56-1637BA,101276572887,,5490-F7B7-8DF6,Cloud Logging,us,,0.00000001519277499,4
01/09/2021,19C531-B6OB56-1637BA,101276572887,,5490-F7B7-8DF6,Cloud Logging,us,,0.006033709772,4
01/08/2021,19C531-B6OB56-1637BA,101276572887,,5490-F7B7-8DF6,Cloud Logging,us,,0.003960018844,4
01/02/2022,19C531-B6OB56-1637BA,101276572897,intro-321,5490-F7B7-8DF6,Cloud Logging,us,,0.0002690469235,4
01/03/2022,19C531-B6OB56-1637BA,101276572884,playground-183,5490-F7B7-8DF6,Cloud Logging,us,,0.000009033120838,4
01/04/2022,19C531-B6OB56-1637BA,101276572885,user1-505,5490-F7B7-8DF6,Cloud Logging,us,,0.0000001950480244,4
01/08/2021,19C531-B6OB56-1637BA,101276572888,,5490-F7B7-8DF6,Cloud Logging,us,,0.00000006379632235,4
01/11/2021,19C531-B6OB56-1637BA,101276572887,,5490-F7B7-8DF6,Cloud Logging,us,,0.002368898306,4
01/10/2021,19C531-B6OB56-1637BA,101276572887,,5490-F7B7-8DF6,Cloud Logging,us,,0.01019009776,4
01/12/2021,19C531-B6OB56-1637BA,101276572889,,5490-F7B7-8DF6,Cloud Logging,us,,0.0000003375883081,4
01/10/2021,19C531-B6OB56-1637BA,101276572890,user2-668,5490-F7B7-8DF6,Cloud Logging,us,,0.00003502912028,4
01/12/2021,19C531-B6OB56-1637BA,101276572890,user2-668,5490-F7B7-8DF6,Cloud Logging,us,,0.0000004802387908,4
01/03/2022,19C531-B6OB56-1637BA,101276572897,intro-321,5490-F7B7-8DF6,Cloud Logging,us,,0.001699568747,4
01/04/2022,19C531-B6OB56-1637BA,101276572886,billing-export-538,5490-F7B7-8DF6,Cloud Logging,us,,0.000008673017131,4
01/10/2021,19C531-B6OB56-1637BA,101276572900,user6,5490-F7B7-8DF6,Cloud Logging,us,,0.000000002593556652,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,A1E8-BE35-7EBC,Cloud Pub/Sub,us-central1,us-central1,0.00006787536937,4
01/02/2021,19C531-B6OB56-1637BA,101276572887,,A1E8-BE35-7EBC,Cloud Pub/Sub,us-central1,us-central1,0.0001035834988,4
01/09/2021,19C531-B6OB56-1637BA,101276572887,,95FF-2EF5-5EA1,Cloud Storage,us,,0.001564054765,4
01/10/2021,19C531-B6OB56-1637BA,101276572887,,95FF-2EF5-5EA1,Cloud Storage,us,,0.0006931596462,4
01/12/2021,19C531-B6OB56-1637BA,101276572891,,95FF-2EF5-5EA1,Cloud Storage,us,,0.0000001615720038,4
01/12/2021,19C531-B6OB56-1637BA,101276572889,,95FF-2EF5-5EA1,Cloud Storage,us,,0.00000002161660232,4
01/02/2022,19C531-B6OB56-1637BA,101276572884,playground-183,95FF-2EF5-5EA1,Cloud Storage,us,,0.00000009768991873,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,95FF-2EF5-5EA1,Cloud Storage,us,,0.0002467296894,4
01/02/2021,19C531-B6OB56-1637BA,101276572887,,95FF-2EF5-5EA1,Cloud Storage,us,,0.0001901432454,4
01/05/2021,19C531-B6OB56-1637BA,101276572887,,95FF-2EF5-5EA1,Cloud Storage,us,,0.0000004297956942,4
01/08/2021,19C531-B6OB56-1637BA,101276572887,,95FF-2EF5-5EA1,Cloud Storage,us,,0.0005450360501,4
01/08/2021,19C531-B6OB56-1637BA,101276572887,,95FF-2EF5-5EA1,Cloud Storage,europe,,0.000000009315806096,4
01/03/2022,19C531-B6OB56-1637BA,101276572884,playground-183,95FF-2EF5-5EA1,Cloud Storage,us-central1,us-central1,0.0000004058634088,4
01/01/2022,19C531-B6OB56-1637BA,101276572884,playground-183,95FF-2EF5-5EA1,Cloud Storage,us-central1,us-central1,0.00001510279784,4
01/02/2022,19C531-B6OB56-1637BA,101276572884,playground-183,95FF-2EF5-5EA1,Cloud Storage,us-central1,us-central1,0.000001492208002,4
01/04/2022,19C531-B6OB56-1637BA,101276572884,playground-183,95FF-2EF5-5EA1,Cloud Storage,us-central1,us-central1,0.0000004036964971,4
01/01/2021,19C531-B6OB56-1637BA,101276572887,,95FF-2EF5-5EA1,Cloud Storage,us-central1,us-central1,0.00001748327321,4
01/02/2021,19C531-B6OB56-1637BA,101276572887,,95FF-2EF5-5EA1,Cloud Storage,us-central1,us-central1,0.000007040405932,4
01/08/2021,19C531-B6OB56-1637BA,101276572887,,95FF-2EF5-5EA1,Cloud Storage,europe-west1,europe-west1,0,4
